,pl_name,pl_orbper_yrs,st_mass_x,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,st_teff,st_rad,ra,dec,sy_dist,spec_type,st_rad_m,st_lum,st_lum_sol,r_0,r_1,hab_zone
0,11 Com b,0.8926214921286789,2.6500000000000004,2,1,326.03,1.25,5800.15,18.25,4742.0,19.0,185.1787793,17.7932516,93.1846,G8 III,13218300000.0,6.295337351578795e+28,164.45499873507822,17.615119938380886,12.227205089660375,0
1,11 UMi b,1.4133332922655715,2.0933333333333333,1,1,516.219985,1.5266666666666666,3818.0947333333334,12.013333333333334,4276.5,26.935,229.27459539999998,71.8239428,125.32099999999998,K4 III,18738679500.0,8.36861276633585e+28,218.61579849362198,20.309668600624956,14.097575500567528,0
2,14 And b,0.5088021902806297,1.7000000000000002,1,1,185.84,0.755,1271.25,4.0,4813.0,11.0,352.82415,39.2358367,75.4392,K0 III,7652700000.0,2.239311056365829e+28,58.49819896462458,10.50590121363286,7.292474263028388,0
3,14 Her b,4.8367967255304585,0.922,1,1,1766.640004,2.8190000000000004,1506.3547999999998,4.739666666666667,5291.0,0.9650000000000001,242.6021014,43.8163621,17.9323,K0 V,671350500.0,2.5169308282353914e+26,0.6575054410228295,1.113811610559281,0.7731314371513185,0
4,16 Cyg B b,2.1885284052019167,1.0250000000000001,3,1,799.36,1.6602000000000001,528.8503599999999,1.6640000000000001,5732.75,1.13,295.4656422,50.516824299999996,21.1397,G2.5 V,786140999.9999999,4.756357680440418e+26,1.2425176803658353,1.5311345407319146,1.062808321196868,0
5,18 Del b,2.719507186858316,2.2,2,1,993.3,2.5700000000000003,3200.4,10.07,4979.0,8.5,314.6078375,10.839137800000001,76.222,G6 III,5913450000.0,1.5313411884660968e+28,40.003688308936695,8.687845370785153,6.030504901893425,0
6,24 Boo b,0.08309541409993156,0.99,1,1,30.3506,0.19,289.2253,0.91,4893.0,10.64,217.1555242,49.844648799999995,95.9863,G3 IV,7402248000.0,2.237946634903161e+28,58.46255577071999,10.502700081472309,7.2902522571843695,0
7,24 Sex b,1.2396988364134156,1.54,1,2,452.8,1.3330000000000002,632.46,1.99,5098.0,4.9,155.86848659999998,-0.9023998,72.0691,K,3408930000.0000005,5.5931580534769e+27,14.611175688288663,5.250548163348183,3.644569520444538,0
8,24 Sex c,2.4175222450376452,1.54,1,2,883.0,2.08,273.32,0.86,5098.0,4.9,155.86848659999998,-0.9023998,72.0691,K,3408930000.0000005,5.5931580534769e+27,14.611175688288663,5.250548163348183,3.644569520444538,0
9,2MASS J19383260+4603591 b,1.1389459274469542,0.48,2,1,416.0,0.92,603.877,1.9,33500.0,7.0,294.6359173,46.0664076,396.332,B,4869900000.0,2.128339550613902e+31,55599.256808095655,323.8892683132344,224.8216602475184,0
10,2MASS J21402931+1625183 A b,20.086242299794662,0.08,1,1,7336.5,7.389229093619434,6657.48,20.95,2300.0,0.12,325.1218214,16.4213408,,M8.5,83484000.0,1.3897588346902275e+23,0.00036305089725450037,0.026172536998407693,0.018167175626149595,0
11,30 Ari B b,0.9268537622632901,1.4166666666666667,4,1,338.5333366666667,0.9983333333333334,3210.039533333334,10.1,6315.5,1.2233333333333334,39.24127360000001,24.6480103,44.657000000000004,F6 V,851073000.0,8.210813436228895e+26,2.144935589401488,2.0117276858187343,1.396403038134207,0
12,4 UMa b,0.7373032169746749,1.23,1,1,269.3,0.87,2256.5,7.1,4415.0,18.11,130.05280990000003,64.3280504,73.4603,K1 III,12599127000.0,4.297593554567201e+28,112.26733423634276,14.554214473357735,10.102534976040904,0
13,42 Dra b,1.3117043121149898,0.98,2,1,479.1,1.19,1233.13,3.88,4200.0,22.03,276.49750530000006,65.5633652,90.6545,K1.5 III,15326271000.0,5.208249289156293e+28,136.0566689957234,16.022193864085718,11.121505334495106,0
14,47 UMa b,2.969609856262834,1.06,1,3,1084.65,2.105,821.5633750000001,2.585,5877.0,1.21,164.8647611,40.43049310000001,13.7967,G1 V,841797000.0,6.02364141873701e+26,1.573574038332552,1.7230808511196976,1.1960442521201264,0
15,47 UMa c,13.657768651608487,1.06,1,3,4988.5,5.665,298.7455,0.9400000000000001,5872.0,1.21,164.8647611,40.43049310000001,13.7967,G1 V,841797000.0,6.0031685290323385e+26,1.568225843529869,1.7201501928335832,1.1940099906426354,0
16,47 UMa d,38.33538672142368,1.06,1,3,14002.0,11.6,521.22,1.64,5872.0,1.21,164.8647611,40.43049310000001,13.7967,G,841797000.0,6.0031685290323385e+26,1.568225843529869,1.7201501928335832,1.1940099906426354,0
17,51 Eri b,36.48596851471595,1.6833333333333333,3,1,13326.5,13.066666666666668,635.66,2.0,7295.0,1.49,69.40074240000001,-2.4738245,29.757500000000004,F0 IV,1036593000.0,2.168399652969522e+27,5.664575895949639,3.269232180338616,2.269276195367877,0
18,51 Peg b,0.011582378507871322,1.0350000000000001,1,1,4.23046375,0.05223333333333333,148.582225,0.46749999999999997,5765.5,1.2349999999999999,344.3675399,20.769095800000002,15.4614,G,859189499.9999999,5.812292054016775e+26,1.5183626055425223,1.6925823775513,1.1748743087676625,0
19,55 Cnc b,0.04005732412419887,0.9122222222222223,2,5,14.630937636363637,0.11383790909090909,262.6980563636364,0.8265636363636364,5228.666666666667,0.9559999999999998,133.1468373,28.329815399999994,12.585499999999998,G8 V,665089199.9999999,2.3558368771099672e+26,0.615422381690169,1.0775779809720458,0.7479805428255525,0
20,55 Cnc c,0.12133478048303509,0.9157142857142857,2,5,44.31752857142857,0.238718,55.70463,0.17527142857142858,5234.4,0.9559999999999998,133.1468373,28.329815399999998,12.585499999999998,G,665089199.9999999,2.3661867662096334e+26,0.6181261144748258,1.0799424464703433,0.7496217921997403,0
21,55 Cnc d,13.74571450300403,0.9200000000000002,2,5,5020.622222222222,5.602555555555555,1162.339162222222,3.657222222222223,5234.4,0.9559999999999998,133.1468373,28.329815399999998,12.585499999999998,G8 V,665089199.9999999,2.3661867662096334e+26,0.6181261144748258,1.0799424464703433,0.7496217921997403,0
22,55 Cnc e,0.0030450120340986876,0.9125000000000001,2,5,1.1121906454545456,0.020025000000000005,8.609556363636363,0.02704363636363636,5230.888888888889,0.9530000000000001,133.1468373,28.32981539999999,12.585499999999998,G8 V,663002100.0,2.345056923385069e+26,0.6126063018247306,1.075109737114828,0.7462672576501425,0
23,55 Cnc f,0.7139812913529546,0.91,2,5,260.7816666666667,0.77635,47.47651666666667,0.14936666666666665,5234.4,0.9559999999999998,133.1468373,28.329815399999998,12.585499999999998,G,665089199.9999999,2.3661867662096334e+26,0.6181261144748258,1.0799424464703433,0.7496217921997403,1
24,6 Lyn b,2.4714341775039923,1.6533333333333333,1,1,902.6913333333332,2.1633333333333336,701.3475333333332,2.2066666666666666,4958.0,5.2,97.69603109999998,58.161175300000004,54.6599,K0 IV,3617640000.0,5.635057920690127e+27,14.72063197672447,5.2701781103274365,3.6581952799315065,0
25,61 Vir b,0.011540041067761806,0.94,1,3,4.215,0.050200999999999996,5.1,0.016,5577.0,0.96,199.596455,-18.3157745,8.50332,G5 V,667872000.0,3.0747559557757335e+26,0.8032277836404738,1.2310662533252894,0.8545215480236845,0
26,61 Vir c,0.10409582477754963,0.94,1,3,38.021,0.2175,18.2,0.057,5577.0,0.96,199.596455,-18.3157745,8.50332,G5 V,667872000.0,3.0747559557757335e+26,0.8032277836404738,1.2310662533252894,0.8545215480236845,0
27,61 Vir d,0.3367830253251198,0.94,1,3,123.01,0.47600000000000003,22.9,0.07200000000000001,5577.0,0.96,199.596455,-18.3157745,8.50332,G5 V,667872000.0,3.0747559557757335e+26,0.8032277836404738,1.2310662533252894,0.8545215480236845,0
28,7 CMa b,2.093634496919918,1.4300000000000002,1,2,764.6999999999999,1.8626666666666667,732.0490999999998,2.3033333333333332,4804.173333333333,4.026666666666666,99.17127599999999,-19.256180800000003,19.8101,K1 III,2801352000.0,2.9787334299698265e+27,7.781435292502159,3.8317037179405644,2.659705262635857,0
29,7 CMa c,2.726899383983573,1.34,1,2,996.0,2.153,276.5121,0.87,4826.0,4.87,99.171276,-19.256180800000003,19.8101,K,3388059000.0,4.43683011564268e+27,11.590465296872205,4.676409140240906,3.246041686965863,0
30,70 Vir b,0.31947783709787814,1.1075,1,1,116.68927999999998,0.47640000000000005,2319.232776,7.297200000000001,5502.5,1.89,202.1064898,13.776308499999999,17.9011,G,1314873000.0,1.129352247843918e+27,2.9502409818284168,2.359341522235427,1.637692662317216,0
31,75 Cet b,1.894318959616701,2.49,2,1,691.9,2.1,953.49,3.0,4846.0,10.5,38.0391598,-1.0350269,82.9613,G3 III,7304850000.0,2.0969006035929697e+28,54.77796770096577,10.1663491991746,7.056780601338221,0
32,8 UMi b,0.2557152635181383,1.62,1,1,93.4,0.49,446.55115,1.405,4847.2,10.100000000000001,224.201685,74.9009379,162.55200000000002,K0,7026570000.000001,1.9421023460506493e+28,50.73412607237851,9.783903422167405,6.79131303895435,0
33,81 Cet b,2.608350444900753,2.0,1,1,952.7,2.335,1479.4,4.654999999999999,4785.0,11.0,39.4243555,-3.3963607000000002,101.26,G5 III,7652700000.0,2.1876545600419414e+28,57.14876071164946,10.384018990705796,7.207872004189047,0
34,91 Aqr b,0.4966461327857632,1.4,3,1,181.4,0.7,1017.0,3.2,4665.0,11.0,348.97450310000005,-9.0878076,44.0304,K0 III,7652700000.0,1.9763213850376263e+28,51.62804036148449,9.869721217362793,6.850881851762156,0
