pl_name,hostname,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
11 Com b,11 Com,19,2,-2,0,2.7,0.3,-0.3,0
11 Com b,11 Com,,,,,2.6,0.4,-0.3,0
11 UMi b,11 UMi,,,,,1.7,0.4,-0.3,0
11 UMi b,11 UMi,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0
11 UMi b,11 UMi,24.08,1.84,-1.84,0,1.8,0.25,-0.25,0
14 And b,14 And,11,1,-1,0,2.2,0.1,-0.2,0
14 And b,14 And,,,,,1.2,0.4,-0.3,0
14 Her b,14 Her,,,,,,,,
14 Her b,14 Her,,,,,0.9,,,0
14 Her b,14 Her,0.93,0.01,-0.01,0,0.9,0.04,-0.04,0
14 Her b,14 Her,,,,,0.9,,,0
14 Her b,14 Her,,,,,1,,,0
14 Her b,14 Her,1,0.05,-0.08,0,0.91,0.14,-0.09,0
16 Cyg B b,16 Cyg B,,,,,1,0.05,-0.05,0
16 Cyg B b,16 Cyg B,1.13,0.08,-0.05,0,1.03,0.15,-0.12,0
16 Cyg B b,16 Cyg B,,,,,0.99,,,0
16 Cyg B b,16 Cyg B,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0
16 Cyg B b,16 Cyg B,,,,,,,,
18 Del b,18 Del,,,,,2.1,0.1,-0.1,0
18 Del b,18 Del,8.5,,,0,2.3,,,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.31,0.18,-0.1,0,0.62,0.06,-0.11,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,,,,0.85,0.2,-0.1,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,,,,0.85,0.2,-0.1,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.35,,,0,0.85,0.2,-0.1,0
24 Boo b,24 Boo,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0
24 Sex b,24 Sex,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0
24 Sex c,24 Sex,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,,,,0.19,0.02,-0.02,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,,,,0.4,0.05,-0.05,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,0.37,0.01,-0.01,0,0.35,0.02,-0.02,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,,,,0.02,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,,,,0.02,,,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,0.22,0.01,-0.01,0,0.19,0.02,-0.02,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,,,,,0.48,0.03,-0.03,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,0.12,0.05,-0.04,0,0.08,0.06,-0.06,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,,,,0.6,0.05,-0.05,0
30 Ari B b,30 Ari B,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0
30 Ari B b,30 Ari B,1.13,0.03,-0.03,0,1.16,0.04,-0.04,0
30 Ari B b,30 Ari B,1.41,0.05,-0.05,0,1.93,0.27,-0.27,0
4 UMa b,4 UMa,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0
42 Dra b,42 Dra,22.03,1,-1,0,0.98,0.05,-0.05,0
47 UMa b,47 UMa,,,,,,,,
47 UMa b,47 UMa,,,,,1.06,0.03,-0.03,0
47 UMa b,47 UMa,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa b,47 UMa,,,,,,,,
47 UMa c,47 UMa,,,,,,,,
47 UMa c,47 UMa,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa d,47 UMa,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
51 Eri b,51 Eri,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0
51 Eri b,51 Eri,,,,,1.75,0.05,-0.05,0
51 Eri b,51 Eri,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0
51 Peg b,51 Peg,,,,,1.04,,,0
51 Peg b,51 Peg,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0
51 Peg b,51 Peg,,,,,,,,
51 Peg b,51 Peg,1.29,,,0,,,,
55 Cnc b,55 Cnc,,,,,,,,
55 Cnc b,55 Cnc,,,,,0.95,,,0
55 Cnc b,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc b,55 Cnc,,,,,,,,
55 Cnc b,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc b,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc b,55 Cnc,,,,,0.85,,,0
55 Cnc b,55 Cnc,,,,,0.95,0.08,-0.08,0
55 Cnc b,55 Cnc,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc b,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc b,55 Cnc,,,,,0.95,,,0
55 Cnc c,55 Cnc,,,,,0.95,,,0
55 Cnc c,55 Cnc,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc c,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
55 Cnc c,55 Cnc,0.96,0.08,-0.05,0,0.9,0.14,-0.09,0
